SECONDS,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
43.2339,-0.6953125,-0.3437500,0.8242188,0.3588867,-0.4235229,0.6105347,0.5648804,1.6054688,1.9179688,-0.1503906
43.3339,0.2734375,-1.1835938,1.8828125,0.3249512,-0.4517212,0.6530762,0.5136719,0.8593750,1.4472656,-0.1523438
43.4339,0.0937500,1.7539062,1.5078125,0.3101807,-0.4707031,0.7095337,0.4227295,2.1054688,1.3496094,-0.3183594
43.5339,-0.1992188,0.9648438,0.2656250,0.2956543,-0.4987183,0.7401733,0.3405762,1.3945312,1.7285156,-0.8046875
43.6339,0.9765625,-0.7460938,1.5039062,0.2774658,-0.5104980,0.7597046,0.2919922,0.2304688,0.4394531,0.2871094
43.7339,0.0117188,-0.3398438,0.6992188,0.2712402,-0.5392456,0.7673950,0.2161865,1.0937500,1.1113281,-0.1835938
43.8339,-0.0585938,0.1093750,-0.1679688,0.2576294,-0.5298462,0.7915039,0.1625366,0.7636719,0.8593750,0.2343750
43.9329,0.0234375,-0.4960938,0.5468750,0.2312622,-0.5348511,0.8049316,0.1118164,0.3964844,1.1425781,-0.4003906
44.0329,-1.2773438,-0.5039062,0.3593750,0.1502075,-0.5587769,0.8153076,0.0218506,0.5664062,2.8437500,-0.5937500
44.1329,-1.0156250,0.4921875,-1.1875000,0.0253296,0.5651245,-0.8123779,0.1416626,0.1093750,5.3027344,-0.6484375
44.2329,-0.2265625,0.7695312,1.1210938,0.1205444,0.5311890,-0.7697754,0.3328247,2.4296875,4.3261719,-0.3554688
44.3329,-0.7265625,-0.0585938,-1.5195312,0.2652588,0.4561768,-0.7122803,0.4628296,0.4804688,5.2558594,-0.1210938
44.4329,0.0585938,-0.0507812,-1.2226562,0.3688965,0.4006348,-0.6199341,0.5648804,1.5664062,4.0878906,-0.7128906
44.5329,0.2421875,-0.0976562,0.5898438,0.4210205,0.3518677,-0.5163574,0.6574707,1.7207031,2.1191406,0.1562500
44.6329,0.3671875,0.6054688,1.2968750,0.4374390,0.3226929,-0.4667969,0.6976318,0.3437500,0.9277344,-0.3300781
44.7329,-0.1953125,0.0546875,-0.5976562,0.4357910,0.2734375,-0.4049072,0.7558594,1.0292969,1.7187500,0.6328125
44.8329,0.9375000,0.3710938,-0.5742188,0.4141846,0.2179565,-0.3209229,0.8233643,1.1445312,1.7089844,0.6191406
44.9329,3.1210938,0.4726562,-1.5429688,0.4225464,0.1561890,-0.2200928,0.8652344,1.1484375,1.9277344,0.1191406
45.0329,-2.3046875,1.4101562,1.9062500,0.4348755,0.0415649,-0.1232910,0.8910522,-0.9531250,0.8417969,0.1796875
45.1329,-0.1406250,-0.1328125,0.2812500,0.4498291,0.0062256,-0.0999756,0.8874512,0.1445312,1.1367188,-0.2792969
45.2328,-0.0664062,-0.6757812,0.2343750,0.4582520,-0.0573120,-0.0443115,0.8858643,0.4550781,1.1582031,-0.0507812
45.3329,0.7304688,-0.8320312,0.5859375,0.4813843,-0.1185913,0.0669556,0.8658447,1.5410156,2.4140625,-0.3378906
45.4329,-0.2890625,-0.1875000,-0.6953125,0.4588013,-0.2139893,0.2308960,0.8308716,1.9042969,3.2968750,0.2695312
45.5329,0.4101562,-1.0820312,1.4765625,0.4296875,-0.2599487,0.4291382,0.7507324,3.5410156,2.8554688,0.4765625
45.6319,0.0234375,-0.0429688,0.3828125,0.3629150,-0.3432617,0.5822144,0.6414795,1.9062500,4.4843750,-0.0644531
45.7319,-0.9414062,0.7617188,1.1562500,0.2991943,-0.4092407,0.6592407,0.5553589,0.8164062,2.5214844,-0.1601562
45.8319,-0.4570312,0.0664062,-0.0195312,0.2650757,-0.4381104,0.7180786,0.4713135,1.6601562,1.2148438,0.1992188
45.9319,0.5390625,-0.6757812,2.6093750,0.2241821,-0.4920654,0.7470093,0.3867798,0.7851562,2.1386719,-0.6210938
46.0319,-0.7656250,2.0195312,2.4648438,0.1467896,-0.5722656,0.7744141,0.2265015,1.4707031,3.2050781,-1.0996094
